BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,CAPACITY,STNO,Address,Location,Lat,Long,geometry,neighborhood
"325, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,123,81,  Fairmount AV,"(42.25459, -71.12019)",42.254473499999996,-71.12017313576659,POINT (-71.12017313576659 42.2544735),Hyde Park
"THE JUNCTION TAVERN, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,140,110,  Dorchester ST,"(42.335139, -71.04595)",42.33524670531341,-71.04599796215926,POINT (-71.04599796215926 42.33524670531341),South Boston
"GLORY RBG, LLC",11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,449,200,  High ST,"(42.35678, -71.052)",42.3568214,-71.0517938,POINT (-71.0517938 42.3568214),Downtown
"SMJ GROUP, LLC",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,115,1357,  Washington ST,"(42.34165, -71.06928)",42.2620157,-71.15640570000001,POINT (-71.15640570000001 42.2620157),West Roxbury
"MELA GROUP, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,49,574, Tremont St,"(42.343257, -71.072509)",42.34331005,-71.07243836196632,POINT (-71.07243836196632 42.34331005),South End
"THE BACK DECK, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,142,10,  West ST,"(42.354426, -71.062191)",42.35450675,-71.06223106970576,POINT (-71.06223106970576 42.35450675),Downtown
FLORENTIA CORP.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,24,130, Jersey St,"(0.0, 0.0)",42.34242585,-71.0965584870919,POINT (-71.0965584870919 42.34242585),Fenway
"PHO BASIL, INC.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,60,177,  Massachusetts AV,"(42.34577, -71.08734)",42.345810799999995,-71.08726180000001,POINT (-71.08726180000001 42.3458108),Fenway
"FARANDOLE, LLC",11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,48,175,  Massachusetts AV,"(42.34583, -71.08737)",42.3458492,-71.08727640000001,POINT (-71.08727640000001 42.3458492),Fenway
"TRIANGLE RESTAURANT, LLC",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,0,304,  Stuart ST,"(42.349832, -71.070578)",42.349835866666666,-71.0707978,POINT (-71.07079779999999 42.34983586666667),Back Bay
"BONCHON ALLSTON, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,88,101,  Brighton AV,"(42.353081, -71.130624)",42.352927,-71.13031600000001,POINT (-71.13031600000001 42.352927),Allston
"TABAR, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,18,611,  Dorchester AV,"(42.328788, -71.057108)",42.3288045,-71.05708809999999,POINT (-71.05708809999999 42.3288045),South Boston
"DOT BOY, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,86,476,  Commonwealth AV,"(42.34854, -71.09385)",42.3485631,-71.09386020000001,POINT (-71.09386020000001 42.3485631),Fenway
"Fairouz Restaurant, Inc.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,66,5268, Washington St,"(42.25931, -71.1589)",42.25913458823529,-71.15992026470589,POINT (-71.15992026470589 42.25913458823529),West Roxbury
"POE'S PUB, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,95,782, Tremont St,"(0.0, 0.0)",42.3390224,-71.0804718,POINT (-71.0804718 42.3390224),Roxbury
"AMICI, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,49,111,N Washington ST,"(42.365582, -71.058131)",42.30517822222223,-71.08039022222222,POINT (-71.08039022222222 42.30517822222223),Dorchester
"MODERN PASTRY, INC.",11/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,94,261,  Hanover ST,"(42.36329, -71.0547)",42.363442777777784,-71.05471555555555,POINT (-71.05471555555555 42.36344277777778),North End
"NORTH STREET GRILLE & CAFÉ, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,40,229,  North ST,"(0.0, 0.0)",42.3634244,-71.05260073333334,POINT (-71.05260073333334 42.3634244),North End
"PIERROT, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,36,272, Cambridge St,"(0.0, 0.0)",42.3609968,-71.067948,POINT (-71.067948 42.3609968),Beacon Hill
SHABU ZEN INTERNATIONAL,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,152,78,  Brighton AV,"(42.352422, -71.128929)",42.35247639999999,-71.128792,POINT (-71.128792 42.35247639999999),Allston
"Suishaya, Inc.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,48,2,  Tyler ST,"(42.35121, -71.06037)",42.246815999999995,-71.125222,POINT (-71.12522199999999 42.246816),Hyde Park
"AMPHITRYON RESTAURANT GROUP, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,16,153,  Belgrade AV,"(42.286425, -71.136969)",42.28634894117647,-71.1367551764706,POINT (-71.1367551764706 42.28634894117647),Roslindale
"MYERS & CHANG, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,75,1143,  Washington ST,"(42.3438, -71.06631)",42.272541973986065,-71.06964529867506,POINT (-71.06964529867506 42.27254197398607),Mattapan
"NICOLE'S PIZZA, INC.",12/02/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,11,639, Tremont St,"(0.0, 0.0)",42.34225044444445,-71.075061,POINT (-71.07506100000001 42.34225044444445),South End
"HONG ZE RESTAURANT, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,106,19,  Hudson ST,"(42.35063, -71.06027)",42.3505444,-71.06030687187891,POINT (-71.06030687187891 42.3505444),Chinatown
"BUBOR CHA-CHA RESTAURANT, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,60,45, Beach St,"(0.0, 0.0)",42.351373201881984,-71.06091269436335,POINT (-71.06091269436335 42.35137320188198),Chinatown
"SOFI'S RESTAURANT GROUP, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,49,18, Corinth St,"(0.0, 0.0)",42.28683517143268,-71.1307096001222,POINT (-71.1307096001222 42.28683517143268),Roslindale
"JUNG ENTERPRISE, INC.",03/31/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,46,174, Harvard Av,"(0.0, 0.0)",42.351347,-71.1313895,POINT (-71.1313895 42.351347),Allston
N&N FOODS INCORPORATED,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,45,1799, Commonwealth Av,"(42.340611, -71.151579)",42.3504455,-71.10930570000001,POINT (-71.10930570000001 42.3504455),Fenway
"21ST, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,96,150,  Bowdoin ST,"(42.358336, -71.062581)",42.30388595071536,-71.07072391522667,POINT (-71.07072391522667 42.30388595071536),Dorchester
"THE WINE BAR, LLC",11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,263,49,  Temple PL,"(42.35493, -71.061809)",42.355197087008364,-71.06211639720573,POINT (-71.06211639720573 42.35519708700836),Downtown
"VERDI, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,233,105, Huntington Av,"(0.0, 0.0)",42.34598211111111,-71.08124105555554,POINT (-71.08124105555554 42.34598211111111),Back Bay
"CARMAC, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,240,6,  Beacon ST,"(42.35814, -71.06152)",42.358149,-71.0617226,POINT (-71.0617226 42.358149),Downtown
"81 L ST., LLC",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,60,81, L St,"(0.0, 0.0)",42.334879,-71.035499,POINT (-71.035499 42.334879),South Boston
Hampshire House Corp.,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,84,220,  Northern AV,"(0.0, 0.0)",42.349131299999996,-71.0388884,POINT (-71.0388884 42.3491313),South Boston Waterfront
"FOOD FOR THOUGHT DINING, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,180,92,  MASSACHUSETTS AVE,"(0.0, 0.0)",42.348624,-71.088278,POINT (-71.088278 42.348624),Back Bay
"99 RESTAURANTS OF BOSTON, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,226,29,  Austin ST,"(42.374884, -71.067065)",42.29320614285713,-71.09029257142858,POINT (-71.09029257142858 42.29320614285713),Dorchester
"AREA FOUR CENTRAL OPERATING, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,0,275,  Albany ST,"(42.343759, -71.062729)",42.34347223489117,-71.06243291089723,POINT (-71.06243291089723 42.34347223489117),South End
"253 FOOD AND SPIRIT, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,335,255,  Tremont ST,"(0.0, 0.0)",42.35409855,-71.17854459289092,POINT (-71.17854459289092 42.35409855),
"BBRG TR, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,425,777,  Boylston ST,"(42.349221, -71.081588)",42.3492471,-71.08138249999999,POINT (-71.08138249999999 42.3492471),Back Bay
"ACAPULCO MEXICAN RESTAURANT, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,92,464,  Centre ST,"(0.0, 0.0)",42.2951872909091,-71.05661601818181,POINT (-71.05661601818181 42.2951872909091),Dorchester
ADDIS RED SEA ETHIOPIAN CORP.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,68,544, Tremont St,"(0.0, 0.0)",42.344059,-71.071237,POINT (-71.071237 42.344059),South End
