,BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,LICCATDESC,CAPACITY,STNO,Address,Location,5,Final_Lat,Final_Long,geometry,neighborhood,ltype
408,"88 BEACH, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,625,88.0,  Beach ST,"(42.351328, -71.059821)","-71.05955,42.351162",42.351328,-71.059821,POINT (-71.059821 42.351328),Chinatown,Malt Wine
409,"SOMERS BOSTON RESTAURANTS, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,582,25.0,  Union ST,"(42.361014, -71.056731)","-71.05702,42.361233",42.361014,-71.056731,POINT (-71.056731 42.361014),Downtown,All Alc.
410,"HILL COUNTRY BOSTON, LLC",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,0,374.0, Congress St,"(42.34993, -71.04741)","-71.04767,42.349857",42.34993,-71.04741,POINT (-71.04741 42.34993),South Boston Waterfront,All Alc.
411,"HILLSTONE RESTAURANT GROUP, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,206,60.0,  State ST,"(42.35927, -71.05643)","-71.05668,42.35891",42.35927,-71.05643,POINT (-71.05643000000001 42.35927),Downtown,All Alc.
412,REMINGTON BOSTON EMPLOYERS LLC,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,40.0,  Dalton ST,"(42.34645, -71.08526)","-71.08469,42.34613",42.34645,-71.08526,POINT (-71.08526000000001 42.34645),Back Bay,All Alc.
413,"DIAMONDROCK BOSTON BROAD STREET TENANT, LLC",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,89.0,  Broad ST,"(42.35744, -71.05316)","-71.05314,42.35768",42.35744,-71.05316,POINT (-71.05316000000001 42.35744),Downtown,All Alc.
414,"HILTON MANAGEMENT, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,1.0,  Hotel DR,"(0.0, 0.0)","-71.024506,42.36779",42.36779,-71.024506,POINT (-71.024506 42.36779),East Boston,All Alc.
415,MC-EB Realty LLC,07/29/2015 12:00:00 AM,12/31/2016 12:00:00 AM,INNALR,Inn. All Alc. Restrict.,0,100.0, Boardman St,"(0.0, 0.0)","-71.00964,42.388363",42.388363,-71.00964,POINT (-71.00964 42.388363),East Boston,All Alc.
416,SAGARMATHA CORPORATION,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWR,CV7 Malt Wine Restrict.,49,1735.0,  Centre ST,"(42.287467, -71.149812)",,42.287467,-71.149812,POINT (-71.149812 42.287467),West Roxbury,Malt Wine Restrict.
417,"HOJOKO, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,1271.0, Boylston St,"(42.345316, -71.096927)","-71.09647,42.344933",42.345316,-71.096927,POINT (-71.09692699999999 42.345316),Fenway,All Alc.
