BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,LICCATDESC,CAPACITY,STNO,Address,Location,Lat,Long
"IL PANINO EXPRESS, INC.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,48,264,  Hanover ST,"(42.363585, -71.054861)",42.363613,-71.054828
"RABIA'S, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,62,71,  Salem ST,"(42.363371, -71.055799)",42.363419,-71.055848
RED D. CORPORATION,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,19,33,  North SQ,"(42.3635, -71.05386)",42.363648,-71.053733
"SNP RESTAURANT GROUP, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,108,9,  Bowdoin ST,"(42.36102, -71.06319)",42.299457,-71.073041
"REGAL CINEMAS, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,3013,201,  Brookline AV,"(42.344649, -71.102201)",42.3441935,-71.1022511
"REGINA PIZZA OF ALLSTON, LLC",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,330,353,  Cambridge ST,"(42.356111, -71.132629)",42.355673,-71.132687
RENAISSANCE HOTEL OPERATING COMPANY,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,606,  Congress ST,"(42.348192, -71.03913)",42.3479524,-71.0396228
"D & D HOSPITALITY, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,150,11,  Dorchester ST,"(42.33721, -71.04375)",42.3373051,-71.04365741284448
PYRAMID TUDOR WHARF HOTEL LLC,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,44,  Charles River AV,"(42.370607, -71.060502)",42.3706247,-71.06052720390605
SANTA'S FOOD CORPORATION,01/09/2015 12:00:00 AM,12/31/2016 12:00:00 AM,CV7ALN,CV7ALN - Neighborhood Restricted,49,18,  Fairmount AV,"(42.255693, -71.1208)",42.255499428571426,-71.12068914285715
STREGA PIZZERIA & CAFÉ CORP.,11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,10,371,  Hanover ST,"(42.36488, -71.05315)",42.364877,-71.05323849999999
"RINCON LIMENO RESTAURANT, INC.",11/07/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,49,409,  Chelsea ST,"(42.37986, -71.02689)",42.37991,-71.026974
"BREW MOON COLORADO, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,239,115,  Stuart ST,"(42.351377, -71.065481)",42.351257,-71.0650021
"ROGGIE'S 356 MIX, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,180,356,  Chestnut Hill AV,"(42.336824, -71.151471)",42.3368679,-71.1514757
"ROSA MEXICANO BOSTON, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,296,155,  Seaport BL,"(42.34968, -71.04281)",42.3502036,-71.0427412
"VIRGINICA, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,156,381,  Congress ST,"(42.349586, -71.047643)",42.34958405,-71.04763642795639
STRONGBOX CORP.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWR,CV7 Malt Wine Restrict.,35,1881,  Centre ST,"(42.286043, -71.155668)",42.2978789,-71.1302825
BOSTON BALLROOM CORPORATION,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,1220,279,  Tremont ST,"(42.34995, -71.065539)",42.3546358,-71.17951235595807
nan,12/29/2014 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,48,709,E Broadway ,"(42.33542, -71.037)",42.33551476923077,-71.036986
"RUTH'S CHRIS STEAK HOUSE BOSTON, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,281,45,  School ST,"(42.35811, -71.05933)",42.358115600000005,-71.05932384482708
SAINT FINBAR CORP.,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,70,108, Cambridge St,"(42.382197, -71.07937)",42.3821725,-71.0793661
"SAKURABANA, INC.",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,91,55,  Broad ST,"(42.357986, -71.054346)",42.358059,-71.05411875
"LITTLEFIELD MANAGEMENT, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7ALR,CV7 All Alc. Restrict.,94,118,  Dorchester ST,"(42.335002, -71.046228)",42.3350545,-71.04640025
"TRI'UR, INC.",11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,90,130,  Dartmouth ST,"(42.346779, -71.0761)",42.3469394,-71.0761022
"SAL'S ITALIAN TRATTORIA, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7ALR,CV7 All Alc. Restrict.,150,225, Northern Av,"(42.348075, -71.039263)",42.348660714285714,-71.03876920408163
"FJS, INC.",11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,156,111,  Chelsea ST,"(42.37264, -71.03526)",42.3726687,-71.0353415
"TL Sons, LLC",12/01/2014 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWR,CV7 Malt Wine Restrict.,0,100,  Summer ST,"(42.353633, -71.057366)",42.35384315,-71.05741601421146
SAUS BOSTON LLC,11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWR,CV7 Malt Wine Restrict.,22,33,  Union ST,"(42.36117, -71.05678)",42.3611464,-71.0567876
E. R. ENTERPRISES,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,185,174,  Lincoln ST,"(42.350585, -71.058431)",42.357988272727276,-71.14023118181818
"BIG HOUSE FINE DINING, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,392,215,  Charles ST,"(42.36203, -71.070362)",42.3620681,-71.07015767249052
"BOSTON TAVERN COMPANY, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,0,300, Harrison Av,"(42.346109, -71.062993)",42.3454666,-71.0628246
"JD RESTAURANT GROUP, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,87,580,  Commonwealth AV,"(42.348814, -71.099357)",42.3488848,-71.0997231
SEAPORT HOTEL LIMITED PARTNERSHIP,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,1, Seaport Ln,"(42.349316, -71.041743)",42.3491401,-71.04151990280039
"DUO WINES, INC.",04/14/2015 12:00:00 AM,12/31/2016 12:00:00 AM,CV7ALN,CV7ALN - Neighborhood Restricted,19,1721,  Washington ST,"(42.337071, -71.076601)",42.2620157,-71.1564057
"Select Oyster, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,60,50,  Gloucester ST,"(42.34862, -71.08407)",42.3486374,-71.0840371
"KMHW, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,84,156,  Cambridge ST,"(42.360978, -71.064668)",42.3610048,-71.0646998
"ZEN INTERNATIONAL, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,93,14,  Tyler ST,"(42.350861, -71.060487)",42.2466121,-71.1248951025311
"SHEA & CO., INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,TAVAL,Tavern Licenses,30,222,W Broadway ,"(42.339803, -71.052729)",42.33997304887648,-71.05248413645087
"NOSMADA, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,232,332,W Broadway ,"(42.338415, -71.049876)",42.33837938141514,-71.05001052662435
"HST LESSEE BOSTON, LLC",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,39,  Dalton ST,"(42.34657, -71.08384)",42.3467642,-71.0836627
"JAE'S CAFÉ & GRILL, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,111,520,  Columbus AV,"(42.34189, -71.07978)",42.34189295,-71.07977614694909
"SILVERTONE RESTAURANT, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,130,69,  Bromfield ST,"(42.357122, -71.060928)",42.3571207,-71.0609359
CLARENDON LIMITED PARTNER,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,235,199,  Clarendon ST,"(42.349571, -71.074268)",42.349774,-71.074629
HIGH MIDDLE CORP.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,108,230,  Congress ST,"(42.35449, -71.05422)",42.35437912,-71.05420924
SMITH & WOLLENSKY ATLANTIC WHARF LLC,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,408,290,  Congress ST,"(42.353001, -71.052481)",42.3529,-71.052659
