,Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference,Lat,Long
117,1269671,NEW YORK,RW,341,840023,IL POSTO TRATTORIA RUSTICA CORP,CAFE TABU,227 DYCKMAN ST,,NEW YORK,NY,10034,05/28/2019,05/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.8661116,-73.9276937
124,1027772,NEW YORK,OP,252,907493,CHEZ JOSEPHINE LTD,,414 W 42ND STREET,,NEW YORK,NY,10036,07/03/2019,06/30/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.758598,-73.9934953
143,1118394,NEW YORK,OP,252,907459,ORIGINE LLC ,JOJO,160 E 64TH STREET,,NEW YORK,NY,10021,07/02/2019,07/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,40.7650567,-73.96571403535958
146,1219433,NEW YORK,OP,252,907853,FRIEND OF A FARMER CORP,,77 IRVING PLACE,18 & 19 ST,NEW YORK,NY,10003,07/16/2019,07/31/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,Includes use of sidewalk cafe,,40.7369497,-73.986783
147,1264557,NEW YORK,RW,341,840377,AMURA JAPANESE RESTAURANT INC,AMURA JAPANESE CUISINE,1567 2ND AVE,,NEW YORK,NY,10028,07/05/2019,07/31/2021,RESTAURANT SERVING BEER CIDER AND WINE ,,,,40.7749658,-73.9540704
182,1210503,NEW YORK,RW,341,841281,KAFANA LLC,,116 AVE C,7TH & 8TH STREETS,NEW YORK,NY,10009,10/15/2019,10/31/2021,RESTAURANT SERVING BEER CIDER AND WINE,,,,40.7243534,-73.9784734
193,1317058,NEW YORK,OP,252,889575,TONYKK LLC,HUMAN RESOURCES,26 VANDERBILT AVE,,NEW YORK,NY,10017,11/21/2019,10/31/2021,"TAVERN SERVING BEER, CIDER, WINE AND LIQUOR",,Recorded/DJ Music,,43.0712595,-73.78312616319397
194,1144716,NEW YORK,A,122,911506,"ADIL ENTERPRISES, INC",SMOKE & NEWS GROCERY,3189 BROADWAY ,CRN B'WAY & 125TH STREET,NEW YORK,NY,10027,12/14/2018,11/30/2021,GROCERY STORE SELLING BEER AND CIDER,,,,42.656537,-73.748564
195,1194319,NEW YORK,OP,252,911681,HARU WALL STREET CORP,HARU,1 WALL ST COURT ,BEAVER & PEARL,NEW YORK,NY,10005,10/08/2019,11/30/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,0.0,0.0
226,1290309,NEW YORK,AX,122,912892,AMBER & WHITE MARKETS INC,MORTON WILLIAMS SUPERMARKET,1066 3RD AVE,,NEW YORK,NY,10065,01/30/2019,01/31/2022,GROCERY STORE SELLING BEER CIDER & WINE PRODUCTS,,,,40.7645009,-73.9646909
236,1167738,NEW YORK,WW,303,913438,WORLD SAKE IMPORTS LLC,,285 W BROADWAY SUITE 350,,NEW YORK,NY,10013,02/22/2019,02/28/2022,WHOLESALE WINE,,,,0.0,0.0
238,1257238,NEW YORK,OP,252,914388,CLYDE ARK LLC,CLYDE FRAZIER'S WINE & DINE,505 W 37TH ST,,NEW YORK,NY,10018,01/17/2020,02/28/2022,"RESTAURANT SERVING BEER, WINE, CIDER AND LIQUOR",,Recorded Music,,40.75707815,-73.99794987049258
239,1268436,NEW YORK,L,222,912620,RIVERSIDE LIQUORS INC,,2728 BROADWAY,,NEW YORK,NY,10025,01/14/2019,02/28/2022,LIQUOR STORE SELLING LIQUOR AND WINE,,,,40.8000251,-73.9676603
260,1293114,NEW YORK,RW,341,842063,SSP FOOD CORP,TABLETIME,20 E 42ND ST,,NEW YORK,NY,10017,03/06/2020,04/30/2022,"RESTAURANT SERVING WINE, BEER AND CIDER.",NO MUSIC OR DANCING.,,,40.655185625,-74.0150830625
289,1277348,NEW YORK,LL,203,921251,STOLI GROUP USA LLC,,135 EAST 57 ST ,9TH FL,NEW YORK,NY,10022,09/20/2019,09/30/2022,WHOLESALE LIQUOR,,,,40.763972,-73.97745
296,1023862,NEW YORK,LL,203,924170,USA WINE IMPORTS INC,,285 W BROADWAY,,NEW YORK,NY,10013,01/23/2020,01/31/2023,WHOLESALE LIQUOR,,,,40.7208476,-74.00464081333078
322,1026827,NEW YORK,OP,252,907633,1490 RESTAURANT CORP,DOC WATSONS,1490 2ND AVENUE,,NEW YORK,NY,10021,07/09/2019,06/30/2021,TAVERN SERVING BEER CIDER WINE AND LIQUOR,,Licensed Sidewalk Cafe & Backyard Recorded Music,,40.7722744,-73.9555191
324,1169032,NEW YORK,OP,252,894790,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL,283 7TH AVE,26TH & 27TH STREETS,NEW YORK,NY,10001,08/31/2018,08/31/2020,"RESTAURANT SERVING LIQUOR, WINE, BEER, & CIDER",,,,40.7460329,-73.9939936
326,1027517,NEW YORK,OP,252,902039,112 FRENCH INC,LE MONDE,2883 87 BROADWAY,,NEW YORK,NY,10025,02/15/2019,02/28/2021,RESTAURANT SERVING BEER CIDER WINE AND LIQUOR,,,,0.0,0.0
334,1315575,NEW YORK,RW,341,830845,DALUP NYC 1 LLC,DALUP,350 7TH AVE,,NEW YORK,NY,10001,06/05/2019,05/31/2021,"RESTAURANT SERVING WINE, BEER AND CIDER",,Recorded Music Permitted and No Dancing,,40.7481685,-73.9929081
336,1229588,NEW YORK,OP,252,899813,SKY BAR TIMES SQUARE INC & PM HOSPITALITY,GROUP INC AS MANAGER D/B/A SKY ROOM,330 W 40TH ST 33RD FLOOR,8TH & 9TH AVENUE,NEW YORK,NY,10018,11/29/2018,12/31/2020,ON PREMISE LIQUOR WINE & BEER CIDER,,,,0.0,0.0
352,1022709,NEW YORK,DX,121,895484,RITE AID DRUG PALACE INC,RITE AID PHARMACY #1711,408 GRAND STREET,,NEW YORK,NY,10002,11/20/2017,01/31/2021,"DRUG STORE SELLING BEER, CIDER AND WINE PRODUCTS",,,,40.7159902,-73.9863388
354,1170926,NEW YORK,OP,252,910952,17TH STREET ENTERTAINMENT II LLC,1 OAK,453 W 17TH STREET,,NEW YORK,NY,10011,03/31/2020,03/31/2021,TAVERN SERVING LIQUOR WINE AND BEER CIDER,11am-4am 7days a week,"music-recorded and dj, allow patron dancing,security  ",,40.744011,-74.00612399822911
356,1022679,NEW YORK,CT,246,899436,HSS PROPERTIES CORPORATION,THE BELAIRE CAFE,525 E 71 ST STREET,,NEW YORK,NY,10021,11/14/2018,11/30/2020,CATERING FACILITY SERVING BEER CIDER WINE & LIQUOR,,,,0.0,0.0
359,1307732,NEW YORK,AX,122,882821,DYLANS DELICIOUS DELI GROCERY CORP,,900 RIVERSIDE DR,STORE #3,NEW YORK,NY,10032,05/03/2018,04/30/2021,GROCERY STORE SELLING BEER CIDER AND WINE PRODUCTS,,,,40.8379366,-73.9460707
