,neighborhood,LAND_SF,YR_BUILT,YR_REMOD,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,GROSS_AREA,LIVING_AREA,U_INT_CND,AC_final,HEAT_TYP,Tax_Exempt,PPSQFT
0,Beacon Hill,1630.3,1895.8,1998.9,160660.0,1060750.0,1221410.0,1172269.5,1630.3,1906.2,1691.0,2.2,0.6,5.1,0.1,781.5685901923639
0,Beacon Hill,636.3,1905.9,1992.4,0.0,445330.0,445330.0,469377.9,636.3,438.4,438.4,1.5,0.2,6.3,0.0,1147.8573095296988
0,Beacon Hill,644.8,1909.8,1992.1,129180.0,497704.0,626884.0,728625.4,644.8,1084.0,856.3,1.1,0.6,4.9,0.0,950.9901002482517
0,Beacon Hill,4448.8,1149.1,1998.6666666666667,826910.0,1334760.0,2161670.0,1703644.0,4448.8,9887.2,8095.6,0.0,1.9,0.2,0.1,inf
0,Beacon Hill,1818.6,1891.7,1996.5,319650.0,1080770.0,1400420.0,1325194.3,1818.6,2808.8,2346.0,1.7,1.4,3.0,0.1,739.5921994417491
0,Beacon Hill,1199.0,1872.0,1993.4,0.0,1114460.0,1114460.0,1174641.1,1199.0,1199.0,1199.0,2.3,0.8,5.4,0.0,929.3627671238398
0,Beacon Hill,391.4,1850.0,1981.9,0.0,400452.0,400452.0,422076.5,391.4,391.4,391.4,2.4,0.0,7.0,0.0,1065.213565319144
0,Beacon Hill,2184.0,1911.4,1988.6,771460.0,1550720.0,2322180.0,651561.9,2184.0,10150.1,8980.8,1.3,1.2,4.2,0.1,720.3081187528043
0,Beacon Hill,1053.9,1889.5,2000.6,299060.0,882021.5,1181081.5,1265982.4,1053.9,2741.4,2287.8,2.0,1.0,3.5,0.0,585.6280628709095
0,Beacon Hill,1095.5,1883.6,1719.857142857143,267450.0,723847.4,991297.4,1044827.7,1095.5,1682.7,1355.7,1.8,1.1,3.4,0.0,796.0123801941429
0,Beacon Hill,1461.1,1958.0,2009.8,212470.0,1286920.0,1499390.0,1580357.2,1461.1,3373.9,2914.7,2.2,1.4,1.2,0.0,723.9836723725034
0,Beacon Hill,996.8,1919.6,1995.7,170820.0,843050.0,1013870.0,1068619.0,996.8,1746.0,1577.5,0.8,0.6,3.9,0.0,660.3901243373297
0,Beacon Hill,734.7,1900.6,1998.2,200700.0,767083.6,967783.6,1020043.9,734.7,2014.6,1684.6,1.7,0.9,3.6,0.0,694.2638450744867
0,Beacon Hill,504.9,1903.7,1998.2,204024.0,699344.0,903368.0,952150.0,504.9,1379.2,1086.0,1.3,0.8,3.9,0.0,801.8817273348584
0,Beacon Hill,1838.4,1887.0,1781.5555555555557,901580.0,1305420.0,2207000.0,2021940.9,1838.4,7131.666666666667,5403.333333333333,0.0,1.5,1.6,0.1,501.40211982811695
0,Beacon Hill,632.0,1899.9,1792.7,263800.0,777630.0,1041430.0,1097667.3,632.0,1686.7,1335.1,0.4,1.2,4.9,0.0,735.0497039279669
0,Beacon Hill,684.9,1895.6,2006.2,281480.0,907280.0,1188760.0,1252953.0,684.9,1925.7,1573.8,1.2,1.3,2.7,0.0,708.5183954464065
0,Beacon Hill,686.8,1913.4,1993.1,103060.0,593800.0,696860.0,734490.6,686.8,1249.7,1080.1,1.6,1.0,4.9,0.0,772.240094345535
0,Beacon Hill,95626.66666666667,1940.3,2009.0,17242800.0,20383790.0,37626590.0,43846.4,95626.66666666667,50239.7,42577.4,0.0,2.0,0.0,0.9,46254.62054283659
0,Beacon Hill,16305.777777777777,1802.7,,0.0,2412970.0,2412970.0,4558705.1,16305.777777777777,1113.7,1113.7,1.8,1.2,1.6,0.0,inf
0,Beacon Hill,1115.1,2003.0,2013.0,0.0,656256.8,656256.8,691694.7,1115.1,1115.1,1115.1,2.4,1.0,2.0,0.0,582.1286546922463
0,Beacon Hill,1099.1,2003.0,,0.0,781300.0,781300.0,823490.3,1099.1,1099.1,1099.1,2.0,1.0,2.0,0.0,735.5887880554159
0,Beacon Hill,1155.4,2003.0,,0.0,917063.0,917063.0,966584.5,1155.4,1155.4,1155.4,2.6,1.0,2.0,0.0,768.9913601801313
0,Beacon Hill,1239.1,2003.0,,0.0,974750.0,974750.0,1027386.6,1239.1,1239.1,1239.1,2.0,1.0,2.0,0.0,749.2890379951966
0,Beacon Hill,1071.3,2003.0,,0.0,857886.0,857886.0,904211.8,1071.3,1071.3,1071.3,2.4,1.0,2.0,0.0,798.8875790289645
0,Beacon Hill,1062.1,2003.0,,0.0,920400.0,920400.0,970101.7,1062.1,1062.1,1062.1,2.4,1.0,2.0,0.0,870.0395773951328
0,Beacon Hill,1004.7142857142857,2003.0,,0.0,686689.8,686689.8,723771.0,1004.7142857142857,1004.7142857142857,1004.7142857142857,1.4,1.3,1.4,0.0,953.2142740439165
0,Beacon Hill,,,,0.0,56000.0,56000.0,59024.0,,,,0.0,2.0,0.0,0.0,
0,Beacon Hill,,,,0.0,56000.0,56000.0,59024.0,,,,0.0,2.0,0.0,0.0,
0,Beacon Hill,,,,0.0,56000.0,56000.0,59024.0,,,,0.0,2.0,0.0,0.0,
0,Beacon Hill,,,,0.0,56000.0,56000.0,59024.0,,,,0.0,2.0,0.0,0.0,
0,Beacon Hill,,,,0.0,56000.0,56000.0,59024.0,,,,0.0,2.0,0.0,0.0,
0,Beacon Hill,,,,0.0,56000.0,56000.0,59024.0,,,,0.0,2.0,0.0,0.0,
0,Beacon Hill,,,,0.0,56000.0,56000.0,59024.0,,,,0.0,2.0,0.0,0.0,
0,Beacon Hill,6424.428571428572,1200.75,2007.0,2860940.0,11028816.2,13889756.2,33220921.9,6424.428571428572,42325.5,38871.25,0.6,1.7,0.6,0.1,inf
0,Beacon Hill,3812.4,1567.7,1003.125,1210960.0,3226735.6,4437695.6,6696110.0,3812.4,14523.8,12905.5,0.9,1.5,2.2,0.1,inf
0,Beacon Hill,755.3,1989.0,200.2,0.0,662010.0,662010.0,697758.8,755.3,755.3,755.3,2.9,1.0,5.0,0.0,864.4713975571433
0,Beacon Hill,735.9,1989.0,0.0,0.0,608420.0,608420.0,641274.7,735.9,735.9,735.9,2.2,1.0,5.0,0.0,827.5043841618948
0,Beacon Hill,680.1,1989.0,402.9,0.0,599290.0,599290.0,631651.7,680.1,680.1,680.1,2.0,1.0,5.0,0.0,880.913607861365
0,Beacon Hill,743.3,1989.0,401.9,0.0,635510.0,635510.0,669827.5,743.3,743.3,743.3,2.2,1.0,5.0,0.0,854.4709184204763
0,Beacon Hill,793.7,1989.0,0.0,0.0,702050.0,702050.0,739960.7,793.7,793.7,793.7,2.5,1.0,5.0,0.0,884.4783862444729
